question_id,correct_label,correct_text,domain,difficulty
1,ب,عملية منهجية لجمع بيانات كمية ونوعية وتحليلها في ضوء معايير لإصدار حكم وتحسين القرار.,تعريفات التقويم وأنماطه,متوسط
2,أ,تحديد الفجوة بين ما خُطط له وما نُفذ فعليًا.,تعريفات التقويم وأنماطه,صعب
3,أ,يوفر معلومات منظمة تساعد في اختيار بدائل أو تعديل مسار أو إصدار حكم.,تعريفات التقويم وأنماطه,صعب
4,د,يعطي وصفًا كميًا أو درجة، بينما التقويم يفسرها في ضوء معيار وقرار.,تعريفات التقويم وأنماطه,صعب
5,أ,تقويم؛ لأنه جمع بين البيانات والمحك والحكم والتحسين.,تعريفات التقويم وأنماطه,متوسط
6,د,جمع بيانات كثيرة دون ربطها بسؤال تقويمي أو قرار لاحق.,تعريفات التقويم وأنماطه,صعب
7,أ,مرجعًا أو مستوى أداء تُقارن به النتائج لإصدار حكم.,تعريفات التقويم وأنماطه,متوسط
8,د,تحليل خبرات الطلاب السابقة قبل بدء البرنامج لتعديل خطة التدريس.,تعريفات التقويم وأنماطه,صعب
9,أ,تقديم تغذية راجعة أثناء التنفيذ تسمح بتعديل التدريس أو البرنامج.,تعريفات التقويم وأنماطه,متوسط
10,ج,يركز على الحكم على النتائج بعد اكتمال البرنامج أو المرحلة.,تعريفات التقويم وأنماطه,متوسط
11,ب,التقويم المقارن القائم على محكات مشتركة بين البرنامجين.,تعريفات التقويم وأنماطه,صعب
12,أ,يعتمد إجراءات موثقة وأدوات واضحة ومعايير معلنة.,تعريفات التقويم وأنماطه,متوسط
13,أ,عند الحاجة إلى فهم أسباب السلوك التنظيمي وخبرات المشاركين وسياق التطبيق.,تعريفات التقويم وأنماطه,صعب
14,ب,يجمع دقة المؤشرات الكمية مع عمق تفسير البيانات النوعية.,تعريفات التقويم وأنماطه,صعب
15,د,فهم الأداء من داخل المؤسسة وبناء تحسين مستمر قابل للتنفيذ.,تعريفات التقويم وأنماطه,متوسط
16,ج,عندما يُستخدم وحده لإصدار قرار اعتماد أو إغلاق برنامج.,تعريفات التقويم وأنماطه,صعب
17,ب,مدى توافق الأداء مع معايير معلنة وتحسينه بناءً على الشواهد.,تعريفات التقويم وأنماطه,متوسط
18,ب,الاختبار أداة لجمع بيانات عن أداء محدد، أما التقويم فيشمل الحكم والتحسين.,تعريفات التقويم وأنماطه,صعب
19,د,تقدم معلومات قابلة للاستخدام لتحسين تعلم أو أداء أو قرار.,تعريفات التقويم وأنماطه,متوسط
20,ج,تفسير التباين بين المصادر قبل إصدار الحكم النهائي.,تعريفات التقويم وأنماطه,صعب
21,ج,تقيس السمة أو المخرج الذي صممت لقياسه فعلًا.,المعايير والأدوات والمستويات,متوسط
22,أ,الثبات.,المعايير والأدوات والمستويات,صعب
23,ب,تقل آثار تحيز المقوم عبر محكات وإجراءات تصحيح واضحة.,المعايير والأدوات والمستويات,متوسط
24,ج,استخدام اختبار حفظ لقياس قدرة الطلاب على تصميم مشروع تطبيقي.,المعايير والأدوات والمستويات,صعب
25,د,يغطي الجوانب الرئيسة للأداء ولا يختزل البرنامج في مؤشر واحد.,المعايير والأدوات والمستويات,متوسط
26,أ,استبانة مقننة ذات بنود مرتبطة بالمحاور.,المعايير والأدوات والمستويات,متوسط
27,أ,بطاقة ملاحظة منظمة بمؤشرات أداء محددة.,المعايير والأدوات والمستويات,صعب
28,د,وحدة التحليل ونطاق القرار الناتج عن التقويم.,المعايير والأدوات والمستويات,متوسط
29,ب,إعلان الغرض وحماية الخصوصية واستخدام النتائج في حدود ما صُممت له.,المعايير والأدوات والمستويات,صعب
30,أ,فحص جودة الأدوات والسياق قبل ترجيح أحد المصدرين.,المعايير والأدوات والمستويات,صعب
31,د,الأداء الشامل للمؤسسة في ضوء رسالتها وحوكمتها ومواردها ونتائجها.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
32,ب,برنامج أكاديمي أو تدريبي محدد من حيث أهدافه وخطته ومخرجاته.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
33,د,جودة البرامج تغذي الحكم المؤسسي، والمؤسسة توفر البيئة والحوكمة الداعمة للبرامج.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
34,د,ما ينبغي أن يتحقق أو مستوى الأداء المقبول.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
35,ج,قياسًا كميًا أو نوعيًا يوضح مدى تحقق معيار معين.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
36,ب,يرتبط مباشرة بالمؤشر ويكون قابلًا للتحقق والمراجعة.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
37,د,اعترافًا رسميًا بأن المؤسسة أو البرنامج استوفى متطلبات جودة محددة.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
38,د,تتابع التقدم أثناء التنفيذ لكشف الانحرافات مبكرًا.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
39,ب,تتحمل مسؤولية نتائجها أمام أصحاب العلاقة وفق شواهد ومعايير.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
40,د,وجود أدوار وصلاحيات وآليات متابعة تنظم جمع البيانات واستخدامها.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
41,ب,نماذج أعمال طلابية مصححة وفق روبريك وسجلات تحليل النتائج.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
42,أ,غياب الرابط بين المطلوب وما تحقق فعليًا.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
43,ج,موثقًا وصادقًا ويربط النتائج بالمعايير وخطط التحسين.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
44,أ,خلط مستوى التحليل وإصدار حكم يتجاوز حدود البيانات.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
45,ج,تحويل النتائج إلى معرفة عملية تقود تحسينًا محددًا.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
46,ب,عندما لا تُقارن بالممارسة الفعلية ونتائج المستفيدين.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
47,أ,الخطة الدراسية ونواتج التعلم وطرائق القياس ورضا المستفيدين.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
